date,nq_log_return,nq_log_range,nq_body_log,nq_upper_wick_log,nq_lower_wick_log,nq_vol_5d,nq_vol_10d,vxn_log_close,vxn_log_range,vxn_log_return,day_of_week,target
2005-06-14,-0.003084910741561586,0.008687379738908874,-0.0030129814047192838,0.0033494775708442504,0.0023249207633453395,0.007797860077590686,0.008944448416324136,2.7568403652716422,0.03840576513073879,0.0006351368237980104,1,0.016157992846911107
2005-06-15,0.0033203014431189004,0.016157992846911107,-0.002879187570042241,0.000996979395935682,0.012281825880933184,0.00794918200357307,0.008090456390848178,2.737608990998456,0.07843466862874848,-0.01923137427318622,2,0.008350177859865582
2005-06-16,0.005171375290059288,0.008350177859865582,0.00417152270375265,0.002014319038175394,0.0021643361179375376,0.007423374448016688,0.00799851024796676,2.7060482162691324,0.05741956024925843,-0.031560774729323615,3,0.011721725106593084
2005-06-17,0.0004616806352295555,0.011721725106593084,-0.008093907070393591,0.0,0.0036278180361994927,0.0035619433655782865,0.006396549367605098,2.6830742228543785,0.06475626828872016,-0.022973993414753924,4,0.012671146975052672
2005-06-20,-0.0005332221025717843,0.012671146975052672,0.004995206915110906,0.005326261998560788,0.0023496780613809776,0.003243792110399067,0.006388318656740502,2.6878474808095296,0.09601467548432252,0.004773257955151156,0,0.007691209445342295
2005-06-21,-0.0005401007450931417,0.007691209445342295,0.0006510501751568754,0.004059488415749435,0.002980670854435985,0.0025562530630133767,0.005621470959344162,2.5974910332585845,0.10886444664822292,-0.09035644755094507,1,0.011459475791794738
2005-06-22,-0.0013807267572270021,0.011459475791794738,-0.005051234411222794,0.002208808271330298,0.004199433109241646,0.0026180859499929155,0.005583442339828475,2.641910395880644,0.07421278987021696,0.04441936262205948,2,0.021672780466719388
2005-06-23,-0.012071073502267993,0.021672780466719388,-0.014206510053901944,0.0073607784444842395,0.00010549196833320451,0.005216567901347774,0.006195882227577788,2.7127059923878547,0.082464270082244,0.07079559650721068,3,0.011815136288463535
2005-06-24,-0.010457136224609975,0.011815136288463535,-0.011044064233701967,0.0007710720547615679,0.0,0.005760258202912654,0.005909389474837895,2.7278528408647205,0.03294105416160997,0.01514684847686576,4,0.009199058301138763
2005-06-27,-0.004295400014051154,0.009199058301138763,-0.0023670968420441696,0.004331780555530074,0.0025001809035645195,0.005255058408444938,0.005463959076891458,2.755569687968872,0.034913170866205157,0.027716847104151565,0,0.00940523033529761
